video_id,thumbnails
82thN03rneQ,https://i.ytimg.com/vi/82thN03rneQ/default.jpg
DU3GSbIzwm8,https://i.ytimg.com/vi/DU3GSbIzwm8/default.jpg
CACAmH4r1fw,https://i.ytimg.com/vi/CACAmH4r1fw/default.jpg
_7dleGL2DzI,https://i.ytimg.com/vi/_7dleGL2DzI/default.jpg
e1CEdPAnj44,https://i.ytimg.com/vi/e1CEdPAnj44/default.jpg
9AaZljojrYc,https://i.ytimg.com/vi/9AaZljojrYc/default.jpg
RQhGTZStSAw,https://i.ytimg.com/vi/RQhGTZStSAw/default.jpg
rhMfYKzaY4U,https://i.ytimg.com/vi/rhMfYKzaY4U/default.jpg
Kkt9Uz8Ol7M,https://i.ytimg.com/vi/Kkt9Uz8Ol7M/default.jpg
3nRZhGP5apQ,https://i.ytimg.com/vi/3nRZhGP5apQ/default.jpg
6Q7kljjRE6U,https://i.ytimg.com/vi/6Q7kljjRE6U/default.jpg
ZgvuBIdW5GU,https://i.ytimg.com/vi/ZgvuBIdW5GU/default.jpg
e38p63Md5LA,https://i.ytimg.com/vi/e38p63Md5LA/default.jpg
nU4EJfX2aXE,https://i.ytimg.com/vi/nU4EJfX2aXE/default.jpg
9D0XuUC5bMs,https://i.ytimg.com/vi/9D0XuUC5bMs/default.jpg
46BjHAxgddU,https://i.ytimg.com/vi/46BjHAxgddU/default.jpg
qaJUEuP6QlI,https://i.ytimg.com/vi/qaJUEuP6QlI/default.jpg
s_a7AZbJGNM,https://i.ytimg.com/vi/s_a7AZbJGNM/default.jpg
wR0mnlqlOR0,https://i.ytimg.com/vi/wR0mnlqlOR0/default.jpg
_8yZsa6wFEw,https://i.ytimg.com/vi/_8yZsa6wFEw/default.jpg
Y_NmwtttzA8,https://i.ytimg.com/vi/Y_NmwtttzA8/default.jpg
SQRduwgFMGo,https://i.ytimg.com/vi/SQRduwgFMGo/default.jpg
3PNsMXe170Q,https://i.ytimg.com/vi/3PNsMXe170Q/default.jpg
0gWxHFMog9w,https://i.ytimg.com/vi/0gWxHFMog9w/default.jpg
f9jhWFKV3u0,https://i.ytimg.com/vi/f9jhWFKV3u0/default.jpg
SUMLKFMGWI4,https://i.ytimg.com/vi/SUMLKFMGWI4/default.jpg
WQ_tHqMVRzw,https://i.ytimg.com/vi/WQ_tHqMVRzw/default.jpg
WM0XViFp1M0,https://i.ytimg.com/vi/WM0XViFp1M0/default.jpg
MAMAUSDuHRs,https://i.ytimg.com/vi/MAMAUSDuHRs/default.jpg
M-AFo0mjV_E,https://i.ytimg.com/vi/M-AFo0mjV_E/default.jpg
